batch_size,shuffle,architecture,epochs_completed,dlc_best_snapshot_epoch,internal_mAP_at_tested_snapshot_percent,internal_rmse_at_tested_snapshot_px,internal_valid_loss_at_tested_snapshot,minimum_internal_valid_loss,minimum_internal_valid_loss_epoch,external_overall_keypoint_rmse_px,external_pupil_center_rmse_px,external_pupil_width_mae_px,external_mean_likelihood,external_points_likelihood_ge_0_6,external_points_total,external_frame_rmse_median_px,external_frame_rmse_p90_px,external_frame_rmse_max_px,training_hours,selected_by_internal_rule,lowest_external_rmse_report_only
2,21,HRNet-W32,100,90,95.92896941516014,17.543463134765624,0.0118491007015109,0.0110725974664092,50,21.06724380972727,11.08318251584107,25.643070381569075,0.5805908213928342,375,800,19.71292862405511,27.325250443343194,35.383866374642025,3.6919,True,True
4,22,HRNet-W32,100,60,94.82376630520196,17.499374389648438,0.0112891290336847,0.0111190266907215,50,22.280380618680905,11.977062471323556,23.232709774462943,0.5340198839455843,280,800,18.46118299369145,28.549740481457277,69.49375768524625,2.6011,False,False
8,23,HRNet-W32,100,50,96.509900990099,17.823745727539062,0.0120657738298177,0.0118641881272196,10,23.60634544352821,12.860025401303588,24.866326589241215,0.496326676979661,131,800,20.066390583744926,28.620902529887182,99.48756101544319,2.2707,False,False
16,24,HRNet-W32,100,50,96.99657559740936,16.928985595703125,0.0117627820000052,0.0113620050251483,40,21.37287013023833,12.390109629788975,25.22941248322336,0.42290162524208424,111,800,19.118838474734964,29.04186875558739,33.44774660965522,3.645,False,False
