model,checkpoints_evaluated,internal_rule_epoch,internal_rule_rmse_px,fixed_epoch,fixed_epoch_rmse_px,common_checkpoint_mean_rmse_px,common_checkpoint_std_rmse_px,oracle_epoch,oracle_rmse_px,envelope_min_px,envelope_max_px,envelope_span_px,internal_rule_cost_px
HRNet-W18,6,40.0,31.251485939492504,200,35.02254270751272,33.608017223273706,5.893379123646769,150,23.782220647573247,23.782220647573247,39.75620711065754,15.973986463084294,7.469265291919257
HRNet-W32,6,90.0,20.057752735032963,200,20.72256071442851,21.57263014466846,2.2474910886962425,100,19.893037416230765,19.893037416230765,25.482077712291595,5.58904029606083,0.16471531880219814
HRNet-W48,5,,,200,21.740535421209103,30.424431192739057,7.259723715220504,200,21.740535421209103,21.740535421209103,37.787690006565576,16.047154585356473,
ResNet-50,6,20.0,28.599626630524767,200,23.28950831433082,20.46947344902049,1.7203777651644123,100,18.848296179110392,18.848296179110392,28.599626630524767,9.751330451414375,9.751330451414375
CSPNeXt-S,6,10.0,70.12489407657245,200,25.725044010733335,25.819981608430464,0.10356352676415292,150,25.722943811458286,25.722943811458286,70.12489407657245,44.40195026511416,44.40195026511416
