model_labels,selected_batch,jump_flagged_pool_frames,pool_frames
20,2,12060,57158
40,3,6229,57158
60,4,3564,57158
80,5,3521,57158
100,6,3145,57158
120,7,2511,57158
140,8,2612,57158
