model,shuffle,batch_size,epochs,tested_snapshot_epoch,min_internal_valid_loss,min_valid_loss_epoch,external_overall_rmse_px,external_pupil_center_rmse_px,external_pupil_width_mae_px,external_points_ge_0_6,training_hours
ResNet-50,27,2,100,90,0.0110678803175687,50,20.103649731202843,12.290224845861006,21.025703806455976,514,1.73
HRNet-W32,21,2,100,90,0.0110725974664092,50,21.06724380972727,11.08318251584107,25.643070381569075,375,3.69
HRNet-W48,28,2,100,20,0.0111435865983366,20,24.734570649104267,15.089313405546854,20.730405861271898,99,6.61
CSPNeXt-S,25,2,100,100,0.0110034961253404,60,35.44828972150706,11.952747607484069,27.104596353860803,75,0.6
HRNet-W18,26,2,100,90,0.0109850848093628,20,47.882940097588275,11.984862065933092,24.252097557711533,121,2.44
