set,frame,closed_by_labeler,aspect,centre_off,min_conf,opening_px
0_first5minvedio/training-data/labels/batch01,img000240.png,False,0.9776727674150499,0.0,0.7480405569076538,254.50323486328125
0_first5minvedio/training-data/labels/batch01,img000325.png,False,0.8152567449329151,0.0,0.5847421884536743,214.98641967773438
0_first5minvedio/training-data/labels/batch01,img000430.png,False,0.9673657806142602,0.0,0.8857707977294922,254.8773651123047
0_first5minvedio/training-data/labels/batch01,img000975.png,False,0.9737293520740938,0.0,0.7932726144790649,264.93414306640625
0_first5minvedio/training-data/labels/batch01,img001325.png,False,0.9748655943878861,0.0,0.7996427416801453,263.57958984375
0_first5minvedio/training-data/labels/batch01,img001875.png,False,0.9137037437052942,0.0,0.7978940010070801,256.8673095703125
0_first5minvedio/training-data/labels/batch01,img003330.png,False,0.8982149919248764,0.0,0.8699038028717041,261.2525634765625
0_first5minvedio/training-data/labels/batch01,img003520.png,False,0.8940698003235139,0.0,0.8248164057731628,265.74359130859375
0_first5minvedio/training-data/labels/batch01,img003985.png,False,0.9220116537409828,0.0,0.8564679026603699,266.9881591796875
0_first5minvedio/training-data/labels/batch01,img004240.png,False,0.9316880847893778,0.0,0.8601438999176025,263.7838439941406
0_first5minvedio/training-data/labels/batch01,img004675.png,False,0.9677463241763186,0.0,0.7018494606018066,262.1070556640625
0_first5minvedio/training-data/labels/batch01,img005910.png,False,0.8771632789112354,0.0,0.8510228395462036,242.18951416015625
0_first5minvedio/training-data/labels/batch01,img007195.png,False,0.9295326086654706,0.0,0.7963932752609253,265.2529602050781
0_first5minvedio/training-data/labels/batch01,img007400.png,False,0.8946960503158065,0.0,0.7674151659011841,257.23040771484375
0_first5minvedio/training-data/labels/batch01,img007470.png,False,0.9217138495140489,0.0,0.8383867740631104,259.84210205078125
0_first5minvedio/training-data/labels/batch01,img007655.png,False,0.9308980419404589,0.0,0.6924891471862793,261.5421447753906
0_first5minvedio/training-data/labels/batch01,img008075.png,False,0.9003695083868355,0.0,0.7613652944564819,268.2869567871094
0_first5minvedio/training-data/labels/batch01,img008925.png,False,0.948790835845111,0.0,0.8026994466781616,278.6702880859375
0_first5minvedio/training-data/labels/batch01,img009055.png,False,0.965221818327375,0.0,0.7074373364448547,284.38031005859375
0_first5minvedio/training-data/labels/batch01,img010420.png,False,0.9359957294808601,0.0,0.7709046602249146,255.81007385253906
0_first5minvedio/training-data/labels/batch02,img000140.png,False,0.9682885408401489,0.028528337083488568,0.613433837890625,306.1466064453125
0_first5minvedio/training-data/labels/batch02,img000502.png,False,0.9226376414299011,0.02785035042983072,0.7670772075653076,284.9833984375
0_first5minvedio/training-data/labels/batch02,img000611.png,False,0.9654091000556946,0.009265864580256314,0.7456997036933899,320.3944091796875
0_first5minvedio/training-data/labels/batch02,img001104.png,False,0.8959617614746094,0.042318793846333295,0.8016353845596313,283.4888916015625
0_first5minvedio/training-data/labels/batch02,img001950.png,False,0.8712611198425293,0.02346318788193596,0.6907608509063721,277.5955505371094
0_first5minvedio/training-data/labels/batch02,img002109.png,False,0.8144844770431519,0.05488437193465961,0.6987642049789429,255.01638793945312
0_first5minvedio/training-data/labels/batch02,img003161.png,False,0.7925806641578674,0.04644910784802867,0.5672904849052429,248.62232971191406
0_first5minvedio/training-data/labels/batch02,img004742.png,False,0.8619758486747742,0.05014236120574425,0.7603206634521484,288.9476623535156
0_first5minvedio/training-data/labels/batch02,img004855.png,False,0.8695496916770935,0.03506829536358773,0.6638529300689697,287.2830505371094
0_first5minvedio/training-data/labels/batch02,img005073.png,False,0.8247267007827759,0.06025092654097577,0.7909367084503174,264.41168212890625
0_first5minvedio/training-data/labels/batch02,img005180.png,False,0.9133349657058716,0.07765737049110802,0.6314184665679932,297.4901428222656
0_first5minvedio/training-data/labels/batch02,img005532.png,False,0.6900690197944641,0.0910053891891474,0.5206079483032227,273.6109313964844
0_first5minvedio/training-data/labels/batch02,img005824.png,False,0.8501738905906677,0.15618550106303306,0.326227068901062,189.42364501953125
0_first5minvedio/training-data/labels/batch02,img006764.png,False,0.9020615220069885,0.004471340743630628,0.7909916043281555,316.4859924316406
0_first5minvedio/training-data/labels/batch02,img008197.png,False,0.8715116381645203,0.030128178812076446,0.7280817627906799,303.6025390625
0_first5minvedio/training-data/labels/batch02,img009139.png,False,0.979163646697998,0.010624389237921722,0.3210153877735138,668.4268798828125
0_first5minvedio/training-data/labels/batch02,img009210.png,False,0.9927632212638855,0.028537203213202696,0.25602254271507263,327.65301513671875
0_first5minvedio/training-data/labels/batch02,img009324.png,False,0.9623852968215942,0.00791107360664807,0.45917943120002747,322.5123596191406
0_first5minvedio/training-data/labels/batch02,img009629.png,True,0.7671812772750854,1.1604658765705667,0.2298179566860199,401.39202880859375
0_first5minvedio/training-data/labels/batch02,img009796.png,False,0.8543483018875122,0.041751997406708236,0.7624459862709045,283.9516906738281
0_first5minvedio/training-data/labels/batch03,img000775.png,False,0.9662883877754211,0.025033408981117444,0.7136587500572205,312.0770568847656
0_first5minvedio/training-data/labels/batch03,img000837.png,False,0.8528255224227905,0.057753645641636424,0.5471270680427551,235.55731201171875
0_first5minvedio/training-data/labels/batch03,img000904.png,False,0.910413384437561,0.02869325969085536,0.5561816096305847,294.0700378417969
0_first5minvedio/training-data/labels/batch03,img001236.png,False,0.9169179797172546,0.032968557331849,0.8668773770332336,302.3240966796875
0_first5minvedio/training-data/labels/batch03,img001637.png,False,0.8782268762588501,0.05141212531959764,0.7940868139266968,267.16015625
