video,set,frame,closed,lid_rel,open_rel,min_conf,centre_off,aspect,untrusted,opening
0 (mouse A),test50,14414,False,0.9967746842968104,0.9920011421719728,0.8596851229667664,0.030767726752844057,0.8526545623087003,0.0,285.83184814453125
0 (mouse A),test50,14487,False,0.9767715593651203,0.9795549204506983,0.7654915452003479,0.040645583597571235,0.8887173457968865,0.0,282.2456359863281
0 (mouse A),test50,14560,False,1.0501435244703472,1.066352152780753,0.7836514711380005,0.035391684623995834,0.9342213954530694,0.0,307.2550964355469
0 (mouse A),test50,14634,False,1.0271599606280173,1.049384162881095,0.7138687372207642,0.0347772376039476,0.932510162196463,0.0,302.3659973144531
0 (mouse A),test50,14707,False,0.9733763826509554,1.00071592279769,0.8385534286499023,0.036352660927821225,0.9118395935115301,0.0,288.3428955078125
0 (mouse A),test50,14781,False,1.0348639213456652,1.0596190151086242,0.7234944105148315,0.03447802683950506,0.8848157570018813,0.0,305.3150329589844
0 (mouse A),test50,14854,False,0.9789343059343788,1.0154883243260018,0.8813229203224182,0.033180250811344715,0.8665075572416742,0.0,292.599365234375
0 (mouse A),test50,14928,False,1.0092740611136926,1.0593958552100025,0.7578131556510925,0.04091172120356469,0.877933760300209,0.0,305.250732421875
0 (mouse A),test50,15001,False,0.9993852788015204,1.0571567363600927,0.7282074093818665,0.03295922681483172,0.8892721752623268,0.0,304.6055603027344
0 (mouse A),test50,15075,False,1.0123583824217885,1.1155982573192502,0.7596523761749268,0.020300921551513692,0.9080812560550141,0.0,321.4447021484375
0 (mouse A),test50,15148,False,1.0163139680148552,1.147432064518736,0.6011734008789062,0.01586381084398286,0.9396464473485427,0.0,330.6171875
0 (mouse A),test50,15221,False,1.0171855110735055,1.1580265992406737,0.5963066816329956,0.016772136372092433,0.9774299456029464,0.0,333.66986083984375
0 (mouse A),test50,15295,False,0.9912737067819476,1.1332837057634089,0.6307352185249329,0.03912056337042958,0.9796310004865828,0.0,326.54052734375
0 (mouse A),test50,15368,False,1.000541958599967,1.1421102252087967,0.6176924705505371,0.03844697393662586,1.0151293799258607,1.0,329.0837707519531
0 (mouse A),test50,15442,False,1.0034454701825462,1.1408341784795164,0.6723008155822754,0.02806686225477332,0.9726761120959435,0.0,328.7160949707031
0 (mouse A),test50,15515,False,1.0042877490599844,1.1342541918341589,0.6641018986701965,0.010906591618082167,0.9578525635129328,0.0,326.8201599121094
0 (mouse A),test50,15589,False,0.9519237328833,1.049303880392649,0.8405436277389526,0.02166181531682699,0.9021053163023174,1.0,302.3428649902344
0 (mouse A),test50,15662,False,1.0049729801138592,1.0957742020060983,0.7318453788757324,0.012882499390989755,0.9353080735337792,0.0,315.732666015625
0 (mouse A),test50,15809,False,0.9822903099832841,1.0573805317401532,0.676334798336029,0.04012057760706143,0.8720135280706887,0.0,304.6700439453125
0 (mouse A),test50,15882,False,0.9573001876404514,1.0294433908103346,0.6887816190719604,0.03410013209522711,0.8864432130670847,1.0,296.6203308105469
0 (mouse A),test50,15956,False,1.0429945826499354,1.116489625950859,0.7619367837905884,0.016132579916292026,0.9344237763326673,0.0,321.7015380859375
0 (mouse A),test50,16029,False,0.9728040201005025,1.0405575375221339,0.6215965151786804,0.03928718092209339,0.8693456638768995,0.0,299.8227233886719
