batch_size,step,losses/train.total_loss,losses/eval.total_loss,metrics/test.mAP,metrics/test.rmse
2,1,0.0147419776767492,,,
2,2,0.0131469368934631,,,
2,3,0.0127805741503834,,,
2,4,0.0115146785974502,,,
2,5,0.0105729168280959,,,
2,6,0.010494252666831,,,
2,7,0.0098652094602584,,,
2,8,0.0093309339135885,,,
2,9,0.0098481168970465,,,
2,10,0.0091826943680644,0.011699004098773,74.49611514157233,41.497189331054685
2,11,0.0087589118629693,,,
2,12,0.0090913828462362,,,
2,13,0.0090910885483026,,,
2,14,0.0087729282677173,,,
2,15,0.0089129209518432,,,
2,16,0.0088656041771173,,,
2,17,0.0086353765800595,,,
2,18,0.0087390812113881,,,
2,19,0.0085908882319927,,,
2,20,0.0082058850675821,0.0111372265964746,95.0003214607175,17.747802734375
2,21,0.0079618515446782,,,
2,22,0.0083080548793077,,,
2,23,0.0081648882478475,,,
2,24,0.007826336659491,,,
2,25,0.0084728226065635,,,
2,26,0.0080604441463947,,,
2,27,0.0075014801695942,,,
2,28,0.0077849179506301,,,
2,29,0.0075009665451943,,,
2,30,0.0076524838805198,0.011892270296812,84.76039148840546,31.375439453125
2,31,0.0081577505916357,,,
2,32,0.0078143579885363,,,
2,33,0.0079287458211183,,,
2,34,0.0075448392890393,,,
2,35,0.0072018266655504,,,
2,36,0.0076656667515635,,,
2,37,0.0071540637873113,,,
2,38,0.0072100623510777,,,
2,39,0.0077728303149342,,,
2,40,0.0073309345170855,0.0115350056439638,93.63105784262636,25.58331756591797
2,41,0.0071164653636515,,,
2,42,0.0073607242666184,,,
2,43,0.0075655565597116,,,
2,44,0.0070343166589736,,,
2,45,0.0068684979341924,,,
2,46,0.0068295462988317,,,
2,47,0.0068091987632215,,,
2,48,0.0069252089597284,,,
2,49,0.006924781948328,,,
2,50,0.0071463612839579,0.0110725974664092,95.57903111739743,17.11575927734375
2,51,0.0069986642338335,,,
2,52,0.0067459931597113,,,
2,53,0.0071348114870488,,,
2,54,0.0067116385325789,,,
2,55,0.0069995759986341,,,
2,56,0.0072078453376889,,,
2,57,0.0071053742431104,,,
2,58,0.0065502114593982,,,
2,59,0.0066940933465957,,,
2,60,0.0064019029960036,0.0117699485272169,95.8388322854842,18.54366455078125
2,61,0.0067244013771414,,,
2,62,0.0065338611602783,,,
2,63,0.0064035677351057,,,
2,64,0.0061152572743594,,,
2,65,0.0064101265743374,,,
2,66,0.0063769547268748,,,
2,67,0.0068223634734749,,,
2,68,0.0062262369319796,,,
2,69,0.0061550731770694,,,
2,70,0.0071271620690822,0.0113861663267016,95.87458745874588,18.780059814453125
2,71,0.0064546195790171,,,
2,72,0.0063256621360778,,,
2,73,0.0065490142442286,,,
2,74,0.0062157157808542,,,
2,75,0.0059324274770915,,,
2,76,0.0060097305104136,,,
2,77,0.0061019952408969,,,
2,78,0.0067270919680595,,,
2,79,0.0061933463439345,,,
2,80,0.0059615052305161,0.0119271352887153,95.47473978167048,17.970455932617188
2,81,0.0051217675209045,,,
2,82,0.0052624298259615,,,
2,83,0.0053455382585525,,,
2,84,0.0051175095140933,,,
2,85,0.0051139956340193,,,
2,86,0.0049379440024495,,,
2,87,0.0052154469303786,,,
2,88,0.0048704566434025,,,
2,89,0.004847515374422,,,
2,90,0.0049230577424168,0.0118491007015109,95.92896941516014,17.543463134765624
2,91,0.0053158020600676,,,
2,92,0.004832908976823,,,
2,93,0.0046751871705055,,,
2,94,0.0049660531803965,,,
2,95,0.0049316473305225,,,
2,96,0.004807402845472,,,
2,97,0.004770218860358,,,
2,98,0.0045230193063616,,,
2,99,0.0045162155292928,,,
