batch_size,bodypart,rmse_px,mean_likelihood
1,pupil_top,23.004132107458993,0.4229850649833679
1,pupil_bottom,24.22210432387668,0.3366377109289169
1,pupil_left,42.63033242758626,0.1820569156110286
1,pupil_right,16.76585758914983,0.3006645867228508
1,eyelid_top,25.670612647496647,0.332097776979208
1,eyelid_bottom,35.793985065554516,0.1653647578507661
1,eye_nasal_corner,122.28656928265136,0.1115211194753646
1,eye_temporal_corner,30.84281338966872,0.1982707510888576
2,pupil_top,21.921015745286084,0.4788579875230789
2,pupil_bottom,14.935148600328954,0.5880505821108818
2,pupil_left,21.446866783166588,0.3737608107924461
2,pupil_right,17.2106238551881,0.5080489319562912
2,eyelid_top,23.226472597182973,0.4495021918416023
2,eyelid_bottom,15.707811487907763,0.3854146827757359
2,eye_nasal_corner,25.354682443525704,0.3481112095713615
2,eye_temporal_corner,18.157092334946057,0.3880534774065017
4,pupil_top,22.34705473955435,0.3700609204173088
4,pupil_bottom,14.23433377404352,0.4478517283499241
4,pupil_left,22.336994957548978,0.4065122507512569
4,pupil_right,18.92388854619805,0.4910058829188347
4,eyelid_top,25.399370240711953,0.3659089517593383
4,eyelid_bottom,32.8232277528207,0.2483006347343325
4,eye_nasal_corner,18.612790445838513,0.1737455330789089
4,eye_temporal_corner,33.145427884317805,0.1599959018826484
8,pupil_top,23.81475884645445,0.2238292373716831
8,pupil_bottom,24.21845548218705,0.3072597275674343
8,pupil_left,27.933014719234347,0.1374196776002645
8,pupil_right,18.524699476127797,0.2612818749248981
8,eyelid_top,28.306845840526258,0.2253019891679287
8,eyelid_bottom,23.538750936721552,0.1617636910825967
8,eye_nasal_corner,29.0266651653817,0.1396259748190641
8,eye_temporal_corner,28.295851270677307,0.1817471046745777
16,pupil_top,29.847183668641406,0.285207739174366
16,pupil_bottom,27.33413204678181,0.1971380297094583
16,pupil_left,44.724498514980915,0.1500806111842393
16,pupil_right,17.69626554412163,0.349660364985466
16,eyelid_top,30.14902587116699,0.3589388345181942
16,eyelid_bottom,55.04842699639736,0.1155706613510847
16,eye_nasal_corner,57.065749889496786,0.1868092799186706
16,eye_temporal_corner,27.891032064311236,0.2218894156813621
