batch_size,step,losses/train.total_loss,losses/eval.total_loss,metrics/test.mAP,metrics/test.rmse
1,1,0.0149414185434579,,,
1,2,0.0143035259097814,,,
1,3,0.0141763854771852,,,
1,4,0.0136307524517178,,,
1,5,0.0134165259078145,,,
1,6,0.0129792662337422,,,
1,7,0.0122720533981919,,,
1,8,0.0127307381480932,,,
1,9,0.0119808185845613,,,
1,10,0.0119902295991778,0.012930835597217,73.26732673267327,37.36063842773437
1,11,0.0116375284269452,,,
1,12,0.011416389606893,,,
1,13,0.011373022571206,,,
1,14,0.0114053850993514,,,
1,15,0.0107859084382653,,,
1,16,0.0106228236109018,,,
1,17,0.0106399739161133,,,
1,18,0.0104373060166835,,,
1,19,0.0107603371143341,,,
1,20,0.0107057830318808,0.0090369312092661,98.01980198019804,14.773712158203123
1,21,0.0108415465801954,,,
1,22,0.0103629352524876,,,
1,23,0.0101683726534247,,,
1,24,0.0102765997871756,,,
1,25,0.0099897431209683,,,
1,26,0.0101931802928447,,,
1,27,0.0101376147940754,,,
1,28,0.0100306253880262,,,
1,29,0.0100971776992082,,,
1,30,0.0096945138648152,0.0087963473051786,98.01980198019804,13.649017333984377
1,31,0.0099261030554771,,,
1,32,0.0100215263664722,,,
1,33,0.0100407311692833,,,
1,34,0.0100217433646321,,,
1,35,0.0096940388903021,,,
1,36,0.009844240732491,,,
1,37,0.0100611113011837,,,
1,38,0.0098683694377541,,,
1,39,0.0098583428189158,,,
1,40,0.0095980521291494,0.0085953315719962,98.01980198019804,13.057687377929687
1,41,0.009419547393918,,,
1,42,0.0097633898258209,,,
1,43,0.009607832878828,,,
1,44,0.0095819225534796,,,
1,45,0.0095717255026102,,,
1,46,0.0096583226695656,,,
1,47,0.0096426270902156,,,
1,48,0.0096815079450607,,,
1,49,0.0090938201174139,,,
1,50,0.0093596205115318,0.0090483548119664,98.01980198019804,13.334317016601563
1,51,0.0092698754742741,,,
1,52,0.0095293587073683,,,
1,53,0.0091011002659797,,,
