model,backbone_config_name,shuffle,batch_size,epochs_completed,parameters,checkpoint_rule,dlc_best_snapshot_epoch,internal_mAP_at_tested_snapshot_percent,internal_rmse_at_tested_snapshot_px,internal_valid_loss_at_tested_snapshot,final_train_loss,minimum_internal_valid_loss,minimum_internal_valid_loss_epoch,maximum_internal_mAP_percent,external_overall_keypoint_rmse_px,external_pupil_center_rmse_px,external_pupil_width_mae_px,external_mean_likelihood,external_points_likelihood_ge_0_6,external_points_total,external_fraction_likelihood_ge_0_6,training_wall_clock_hours,training_wall_clock_source,external_frame_rmse_median_px,external_frame_rmse_p90_px,external_frame_rmse_max_px,external_pupil_center_error_median_px,external_pupil_center_error_p90_px,selected_by_internal_five_frame_rule,lowest_external_overall_rmse
HRNet-W18,hrnet_w18,10,2,200,9600413.0,snapshot-best by internal test.mAP,40,98.01980198019804,12.765338134765624,0.0084578413516283,0.0059172161854803,0.0080225663259625,60,98.01980198019804,31.251485939492504,11.969722041392822,31.410844750094768,0.21857668389566237,0,800,0.0,,not recorded,20.018665220726916,28.492520996468137,218.03983993731532,8.911668480989446,16.672581623590297,False,False
HRNet-W32,hrnet_w32,6,2,200,29370121.0,snapshot-best by internal test.mAP,90,100.0,13.021759033203123,0.0087790749967098,0.0038180779665708,0.0082371113821864,70,100.0,20.057752735032963,9.5294579291583,20.112968495558036,0.4399749842472374,59,800,0.07375,8.4307,batch-size sweep metadata,19.392917523114377,24.946775335806276,32.65449781758486,8.04929326115708,14.017917687369502,False,True
HRNet-W48,hrnet_w48,13,2,200,65419913.0,final epoch snapshot (best snapshot destroyed),200,97.62376237623762,13.794587707519533,0.0107522513717412,0.0031034883577376,0.008495639078319,20,98.01980198019804,21.740535421209103,12.365035120644892,28.20913172893256,0.7367249051388353,662,800,0.8275,,not recorded,20.762462084717974,28.42668634700503,36.65591431533062,9.454306905330034,19.155589681443598,False,False
ResNet-50,resnet50_gn,11,2,200,23950424.0,snapshot-best by internal test.mAP,20,98.01980198019804,13.241107177734374,0.0090777110308408,0.0070208609104156,0.0078759770840406,50,98.01980198019804,28.599626630524767,14.747771806087709,32.21922906654665,0.3692387125687673,40,800,0.05,6.353888888888889,architecture queue log,21.812036626661886,32.26407542266429,151.20626534430178,12.192025751290558,19.494493888088524,False,False
CSPNeXt-S,cspnext_s,14,2,200,4500431.0,snapshot-best by internal test.mAP,10,98.01980198019804,14.361531066894532,0.010791890323162,0.0076376870274543,0.0078524835407733,120,98.01980198019804,70.12489407657245,33.208579200943674,29.39732749902178,0.22892301652580493,1,800,0.00125,1.431111111111111,architecture queue log,27.04339092374644,129.31527042907905,326.6262837513354,14.818921114962997,55.57507071277157,True,False
