model,bodypart,rmse_px,mean_likelihood
HRNet-W18,pupil_top,23.50722532291027,0.4322029377520084
HRNet-W18,pupil_bottom,28.819488910221153,0.1363462784141302
HRNet-W18,pupil_left,26.81081043429506,0.1978357374668121
HRNet-W18,pupil_right,21.79274315827906,0.2714857311546803
HRNet-W18,eyelid_top,29.21861110192843,0.3725017790496349
HRNet-W18,eyelid_bottom,59.788883924786354,0.1049678187072277
HRNet-W18,eye_nasal_corner,17.83746974041668,0.1490136187523603
HRNet-W18,eye_temporal_corner,22.129934275499576,0.0842595698684453
HRNet-W32,pupil_top,21.921015745286084,0.4788579875230789
HRNet-W32,pupil_bottom,14.935148600328954,0.5880505821108818
HRNet-W32,pupil_left,21.446866783166588,0.3737608107924461
HRNet-W32,pupil_right,17.2106238551881,0.5080489319562912
HRNet-W32,eyelid_top,23.226472597182973,0.4495021918416023
HRNet-W32,eyelid_bottom,15.707811487907763,0.3854146827757359
HRNet-W32,eye_nasal_corner,25.354682443525704,0.3481112095713615
HRNet-W32,eye_temporal_corner,18.157092334946057,0.3880534774065017
HRNet-W48,pupil_top,23.979508011525464,0.8002046844363213
HRNet-W48,pupil_bottom,16.120777636938378,0.8162993320077657
HRNet-W48,pupil_left,26.425797884007675,0.7479361948370934
HRNet-W48,pupil_right,23.951796567420356,0.7708878183364868
HRNet-W48,eyelid_top,22.321366005056277,0.7719623845815659
HRNet-W48,eyelid_bottom,16.815175083933244,0.7261907044053078
HRNet-W48,eye_nasal_corner,22.682789826499594,0.6392533415555954
HRNet-W48,eye_temporal_corner,19.462707076629307,0.6210647809505463
ResNet-50,pupil_top,27.510069291793524,0.3825258456170559
ResNet-50,pupil_bottom,21.901622358902458,0.5728163331747055
ResNet-50,pupil_left,34.917121954170895,0.162970463335514
ResNet-50,pupil_right,18.899009280013015,0.3642911502718925
ResNet-50,eyelid_top,47.22906283506484,0.3522963539138436
ResNet-50,eyelid_bottom,24.021073926906293,0.5369930167496204
ResNet-50,eye_nasal_corner,21.84737138333508,0.1433486381173133
ResNet-50,eye_temporal_corner,21.11260785127893,0.4386678993701934
CSPNeXt-S,pupil_top,120.35551960877088,0.1786801584810018
CSPNeXt-S,pupil_bottom,15.70730443844711,0.4436932358145714
CSPNeXt-S,pupil_left,36.77444280224364,0.1451837892085313
CSPNeXt-S,pupil_right,18.50807000579239,0.3050200578570365
CSPNeXt-S,eyelid_top,94.59492657751755,0.1912696973979473
CSPNeXt-S,eyelid_bottom,22.917733631402996,0.2306237007677555
CSPNeXt-S,eye_nasal_corner,77.64174778112607,0.1409465999156236
CSPNeXt-S,eye_temporal_corner,86.08869667218856,0.1959668927639722
