model,step,losses/train.total_loss,losses/eval.total_loss,metrics/test.mAP,metrics/test.rmse
HRNet-W18,1,0.0150965675711631,,,
HRNet-W18,2,0.0143636614084243,,,
HRNet-W18,3,0.0138991847634315,,,
HRNet-W18,4,0.0131195439025759,,,
HRNet-W18,5,0.0128504382446408,,,
HRNet-W18,6,0.0126940300688147,,,
HRNet-W18,7,0.0121000930666923,,,
HRNet-W18,8,0.011955976486206,,,
HRNet-W18,9,0.0119048580527305,,,
HRNet-W18,10,0.0115689793601632,0.0105356769636273,75.74257425742574,30.51393432617187
HRNet-W18,11,0.0117321582511067,,,
HRNet-W18,12,0.0113017605617642,,,
HRNet-W18,13,0.011089488863945,,,
HRNet-W18,14,0.0113575281575322,,,
HRNet-W18,15,0.0109421527013182,,,
HRNet-W18,16,0.0110258487984538,,,
HRNet-W18,17,0.0109319388866424,,,
HRNet-W18,18,0.0108212800696492,,,
HRNet-W18,19,0.0108624948188662,,,
HRNet-W18,20,0.0106507567688822,0.009136876091361,94.05940594059405,16.093873596191408
HRNet-W18,21,0.0109200105071067,,,
HRNet-W18,22,0.0107093462720513,,,
HRNet-W18,23,0.0102465646341443,,,
HRNet-W18,24,0.0101582081988453,,,
HRNet-W18,25,0.0104465521872043,,,
HRNet-W18,26,0.0102426158264279,,,
HRNet-W18,27,0.0102355675771832,,,
HRNet-W18,28,0.0101576289162039,,,
HRNet-W18,29,0.0104462504386901,,,
HRNet-W18,30,0.0099345436319708,0.0086033614352345,76.5990099009901,27.8481201171875
HRNet-W18,31,0.0098074041306972,,,
HRNet-W18,32,0.0102128693833947,,,
HRNet-W18,33,0.0102343615144491,,,
HRNet-W18,34,0.0099949976429343,,,
HRNet-W18,35,0.0097601190209388,,,
HRNet-W18,36,0.0100467056035995,,,
HRNet-W18,37,0.0102666215971112,,,
HRNet-W18,38,0.0100111030042171,,,
HRNet-W18,39,0.0098692113533616,,,
HRNet-W18,40,0.0095008639618754,0.0084578413516283,98.01980198019804,12.765338134765624
HRNet-W18,41,0.0096749104559421,,,
HRNet-W18,42,0.0096401060000061,,,
HRNet-W18,43,0.0095257395878434,,,
HRNet-W18,44,0.0098134288564324,,,
HRNet-W18,45,0.0100451000034809,,,
HRNet-W18,46,0.0094852102920413,,,
HRNet-W18,47,0.0095622139051556,,,
HRNet-W18,48,0.0097873723134398,,,
HRNet-W18,49,0.0095259705558419,,,
HRNet-W18,50,0.0093448180705308,0.0091646630316972,98.01980198019804,14.12731475830078
HRNet-W18,51,0.0097834719344973,,,
HRNet-W18,52,0.009386139921844,,,
HRNet-W18,53,0.0093284016475081,,,
HRNet-W18,54,0.0093246167525649,,,
HRNet-W18,55,0.0095064938068389,,,
HRNet-W18,56,0.0093975448980927,,,
HRNet-W18,57,0.0096256667748093,,,
HRNet-W18,58,0.0090502938255667,,,
HRNet-W18,59,0.0092914896085858,,,
HRNet-W18,60,0.0089992731809616,0.0080225663259625,98.01980198019804,12.1997314453125
HRNet-W18,61,0.0098154479637742,,,
HRNet-W18,62,0.009398384951055,,,
HRNet-W18,63,0.0094125466421246,,,
HRNet-W18,64,0.0093986503779888,,,
HRNet-W18,65,0.0089331688359379,,,
HRNet-W18,66,0.0092275077477097,,,
HRNet-W18,67,0.0091174282133579,,,
HRNet-W18,68,0.0093725956976413,,,
HRNet-W18,69,0.0090203061699867,,,
HRNet-W18,70,0.0093353847041726,0.008403230458498,98.01980198019804,12.468411254882811
HRNet-W18,71,0.0091322036460042,,,
HRNet-W18,72,0.009056712500751,,,
HRNet-W18,73,0.0089527228847146,,,
HRNet-W18,74,0.0087260296568274,,,
HRNet-W18,75,0.0092990128323435,,,
HRNet-W18,76,0.0092013012617826,,,
HRNet-W18,77,0.0091023845598101,,,
HRNet-W18,78,0.0093021150678396,,,
HRNet-W18,79,0.0089462958276271,,,
HRNet-W18,80,0.0093109281733632,0.0084782037883996,98.01980198019804,12.004064178466797
HRNet-W18,81,0.0091270739212632,,,
HRNet-W18,82,0.0092274565249681,,,
HRNet-W18,83,0.0089855780825018,,,
HRNet-W18,84,0.008514548651874,,,
HRNet-W18,85,0.0091582862660288,,,
HRNet-W18,86,0.0090008592233061,,,
HRNet-W18,87,0.0088604465126991,,,
HRNet-W18,88,0.0091194445267319,,,
HRNet-W18,89,0.0087922476232051,,,
HRNet-W18,90,0.0088185323402285,0.0085272705182433,98.01980198019804,12.6242919921875
HRNet-W18,91,0.0090599507093429,,,
HRNet-W18,92,0.0093110054731369,,,
HRNet-W18,93,0.00859444309026,,,
HRNet-W18,94,0.0087846750393509,,,
HRNet-W18,95,0.0090126069262623,,,
HRNet-W18,96,0.0086561758071184,,,
HRNet-W18,97,0.0085994852706789,,,
HRNet-W18,98,0.0083591407164931,,,
HRNet-W18,99,0.0086194286122918,,,
HRNet-W18,100,0.0086293136700987,0.0082534719258546,98.01980198019804,12.148052215576172
HRNet-W18,101,0.0091003784909844,,,
HRNet-W18,102,0.0089406557381153,,,
HRNet-W18,103,0.0086866356432437,,,
HRNet-W18,104,0.0088026328012347,,,
HRNet-W18,105,0.0087008932605385,,,
HRNet-W18,106,0.0085885440930724,,,
HRNet-W18,107,0.0085651399567723,,,
HRNet-W18,108,0.0085858153179287,,,
HRNet-W18,109,0.0082730697467923,,,
HRNet-W18,110,0.0084274597465991,0.0085907485336065,98.01980198019804,12.64481201171875
HRNet-W18,111,0.0085807340219616,,,
HRNet-W18,112,0.0083279954269528,,,
HRNet-W18,113,0.0087388344109058,,,
HRNet-W18,114,0.0081240618601441,,,
HRNet-W18,115,0.0081905731931328,,,
HRNet-W18,116,0.0084143122658133,,,
HRNet-W18,117,0.0079776318743824,,,
HRNet-W18,118,0.0082339281216263,,,
HRNet-W18,119,0.0084545603021979,,,
HRNet-W18,120,0.0083112185820937,0.008490334264934,98.01980198019804,13.080119323730468
HRNet-W18,121,0.0082499803975224,,,
HRNet-W18,122,0.0083425948396325,,,
HRNet-W18,123,0.0084782112389802,,,
HRNet-W18,124,0.0080710910260677,,,
HRNet-W18,125,0.0081790229305624,,,
HRNet-W18,126,0.0082071758806705,,,
HRNet-W18,127,0.0079903891310095,,,
HRNet-W18,128,0.0076402351260185,,,
HRNet-W18,129,0.0079395258799195,,,
