model,step,losses/train.total_loss,losses/eval.total_loss
HRNet-W32,20,0.0082058850675821,0.0111372265964746
HRNet-W32,21,0.0079618515446782,
HRNet-W32,22,0.0083080548793077,
HRNet-W32,23,0.0081648882478475,
HRNet-W32,24,0.007826336659491,
HRNet-W32,25,0.0084728226065635,
HRNet-W32,26,0.0080604441463947,
HRNet-W32,27,0.0075014801695942,
HRNet-W32,28,0.0077849179506301,
HRNet-W32,29,0.0075009665451943,
HRNet-W32,30,0.0076524838805198,0.011892270296812
HRNet-W32,31,0.0081577505916357,
HRNet-W32,32,0.0078143579885363,
HRNet-W32,33,0.0079287458211183,
HRNet-W32,34,0.0075448392890393,
HRNet-W32,35,0.0072018266655504,
HRNet-W32,36,0.0076656667515635,
HRNet-W32,37,0.0071540637873113,
HRNet-W32,38,0.0072100623510777,
HRNet-W32,39,0.0077728303149342,
HRNet-W32,40,0.0073309345170855,0.0115350056439638
HRNet-W32,41,0.0071164653636515,
HRNet-W32,42,0.0073607242666184,
HRNet-W32,43,0.0075655565597116,
HRNet-W32,44,0.0070343166589736,
HRNet-W32,45,0.0068684979341924,
HRNet-W32,46,0.0068295462988317,
HRNet-W32,47,0.0068091987632215,
HRNet-W32,48,0.0069252089597284,
HRNet-W32,49,0.006924781948328,
HRNet-W32,50,0.0071463612839579,0.0110725974664092
HRNet-W32,51,0.0069986642338335,
HRNet-W32,52,0.0067459931597113,
HRNet-W32,53,0.0071348114870488,
HRNet-W32,54,0.0067116385325789,
HRNet-W32,55,0.0069995759986341,
HRNet-W32,56,0.0072078453376889,
HRNet-W32,57,0.0071053742431104,
HRNet-W32,58,0.0065502114593982,
HRNet-W32,59,0.0066940933465957,
HRNet-W32,60,0.0064019029960036,0.0117699485272169
HRNet-W32,61,0.0067244013771414,
HRNet-W32,62,0.0065338611602783,
HRNet-W32,63,0.0064035677351057,
HRNet-W32,64,0.0061152572743594,
HRNet-W32,65,0.0064101265743374,
HRNet-W32,66,0.0063769547268748,
HRNet-W32,67,0.0068223634734749,
HRNet-W32,68,0.0062262369319796,
HRNet-W32,69,0.0061550731770694,
HRNet-W32,70,0.0071271620690822,0.0113861663267016
HRNet-W32,71,0.0064546195790171,
HRNet-W32,72,0.0063256621360778,
HRNet-W32,73,0.0065490142442286,
HRNet-W32,74,0.0062157157808542,
HRNet-W32,75,0.0059324274770915,
HRNet-W32,76,0.0060097305104136,
HRNet-W32,77,0.0061019952408969,
HRNet-W32,78,0.0067270919680595,
HRNet-W32,79,0.0061933463439345,
HRNet-W32,80,0.0059615052305161,0.0119271352887153
HRNet-W32,81,0.0051217675209045,
HRNet-W32,82,0.0052624298259615,
HRNet-W32,83,0.0053455382585525,
HRNet-W32,84,0.0051175095140933,
HRNet-W32,85,0.0051139956340193,
HRNet-W32,86,0.0049379440024495,
HRNet-W32,87,0.0052154469303786,
HRNet-W32,88,0.0048704566434025,
HRNet-W32,89,0.004847515374422,
HRNet-W32,90,0.0049230577424168,0.0118491007015109
HRNet-W32,91,0.0053158020600676,
HRNet-W32,92,0.004832908976823,
HRNet-W32,93,0.0046751871705055,
HRNet-W32,94,0.0049660531803965,
HRNet-W32,95,0.0049316473305225,
HRNet-W32,96,0.004807402845472,
HRNet-W32,97,0.004770218860358,
HRNet-W32,98,0.0045230193063616,
HRNet-W32,99,0.0045162155292928,
HRNet-W32,100,0.0048181465826928,0.0122728142887353
HRNet-W48,1,0.0145513322204351,
HRNet-W48,2,0.0131736528128385,
HRNet-W48,3,0.0120042683556675,
HRNet-W48,4,0.0112810265272855,
HRNet-W48,5,0.0108334217220544,
HRNet-W48,6,0.0106081683188676,
HRNet-W48,7,0.0101307947188615,
HRNet-W48,8,0.0095170065760612,
HRNet-W48,9,0.0093195000663399,
HRNet-W48,10,0.0092759002000093,0.0116598261520266
HRNet-W48,11,0.0085214572027325,
HRNet-W48,12,0.0090357214212417,
HRNet-W48,13,0.0087134670466184,
HRNet-W48,14,0.0084879677742719,
HRNet-W48,15,0.0089379716664552,
HRNet-W48,16,0.0087704490870237,
HRNet-W48,17,0.0082163251936435,
HRNet-W48,18,0.0082117458805441,
HRNet-W48,19,0.0082329828292131,
HRNet-W48,20,0.007926532998681,0.0111435865983366
HRNet-W48,21,0.0080833164975047,
HRNet-W48,22,0.0081081809476017,
HRNet-W48,23,0.0081813680008053,
HRNet-W48,24,0.008016194216907,
HRNet-W48,25,0.0080921966582536,
HRNet-W48,26,0.0079381139948964,
HRNet-W48,27,0.0072028217837214,
HRNet-W48,28,0.0071407184004783,
HRNet-W48,29,0.0073700831271708,
HRNet-W48,30,0.0076863868162035,0.0125909224152565
HRNet-W48,31,0.0077313096262514,
HRNet-W48,32,0.0074164597317576,
HRNet-W48,33,0.007666184566915,
HRNet-W48,34,0.0073895007371902,
HRNet-W48,35,0.0074431211687624,
HRNet-W48,36,0.007437165826559,
HRNet-W48,37,0.0067620486952364,
HRNet-W48,38,0.0070454431697726,
HRNet-W48,39,0.0071335108950734,
HRNet-W48,40,0.0068505019880831,0.0113508598878979
HRNet-W48,41,0.0069563193246722,
HRNet-W48,42,0.0067220018245279,
HRNet-W48,43,0.0073096542619168,
HRNet-W48,44,0.0069408253766596,
HRNet-W48,45,0.0068310992792248,
HRNet-W48,46,0.0067169382236897,
HRNet-W48,47,0.0067824320867657,
HRNet-W48,48,0.0064954012632369,
HRNet-W48,49,0.0064427680335938,
HRNet-W48,50,0.0064432816579937,0.0121003957465291
HRNet-W48,51,0.0068793846294283,
HRNet-W48,52,0.0066842339001595,
HRNet-W48,53,0.0068937549367547,
HRNet-W48,54,0.0064858691766858,
HRNet-W48,55,0.006634356919676,
HRNet-W48,56,0.0067837489768862,
HRNet-W48,57,0.006415382027626,
HRNet-W48,58,0.0065024406649172,
HRNet-W48,59,0.0063355593010783,
HRNet-W48,60,0.0062064402736723,0.0125169185921549
HRNet-W48,61,0.0062383506447076,
HRNet-W48,62,0.0059664556756615,
HRNet-W48,63,0.0062386156059801,
HRNet-W48,64,0.0059079728089272,
HRNet-W48,65,0.0059376875869929,
HRNet-W48,66,0.0061053056269884,
HRNet-W48,67,0.0061682257801294,
HRNet-W48,68,0.0062275566160678,
HRNet-W48,69,0.0056724599562585,
HRNet-W48,70,0.0061792670749127,0.0119711365550756
HRNet-W48,71,0.0060868808068335,
HRNet-W48,72,0.00585049809888,
HRNet-W48,73,0.0058679347857832,
HRNet-W48,74,0.0058458475396037,
HRNet-W48,75,0.0054062139242887,
HRNet-W48,76,0.0056997188366949,
HRNet-W48,77,0.0053011691197752,
HRNet-W48,78,0.0059394193813204,
HRNet-W48,79,0.0058287545107305,
HRNet-W48,80,0.0058903167955577,0.0126713411882519
HRNet-W48,81,0.0048171407543122,
HRNet-W48,82,0.0046694721095263,
HRNet-W48,83,0.0046524847857654,
HRNet-W48,84,0.0046820538118481,
HRNet-W48,85,0.0045751696452498,
HRNet-W48,86,0.004298829473555,
HRNet-W48,87,0.0042894696816802,
HRNet-W48,88,0.0039153126999735,
HRNet-W48,89,0.0043359450064599,
HRNet-W48,90,0.004025618545711,0.0130903990939259
HRNet-W48,91,0.0045218938030302,
HRNet-W48,92,0.0041002021171152,
HRNet-W48,93,0.0042817657813429,
HRNet-W48,94,0.0043492303229868,
HRNet-W48,95,0.0045761694200336,
HRNet-W48,96,0.0038216121029108,
HRNet-W48,97,0.0042503182776272,
HRNet-W48,98,0.004322619177401,
HRNet-W48,99,0.0040894374251365,
HRNet-W48,100,0.0043271952308714,0.0130879003554582
CSPNeXt-S,1,0.0157218370586633,
CSPNeXt-S,2,0.0146891651675105,
CSPNeXt-S,3,0.0145648894831538,
CSPNeXt-S,4,0.0138372723013162,
CSPNeXt-S,5,0.0133129451423883,
CSPNeXt-S,6,0.0127582279965281,
CSPNeXt-S,7,0.0120413899421691,
CSPNeXt-S,8,0.0115974871441721,
CSPNeXt-S,9,0.0113547993823885,
CSPNeXt-S,10,0.0109432581812143,0.0140053946524858
CSPNeXt-S,11,0.0106782242655754,
CSPNeXt-S,12,0.0104578789323568,
CSPNeXt-S,13,0.0107529163360595,
CSPNeXt-S,14,0.0101563017815351,
CSPNeXt-S,15,0.0102834049612283,
CSPNeXt-S,16,0.0095464158803224,
CSPNeXt-S,17,0.01002346444875,
CSPNeXt-S,18,0.0098198950290679,
CSPNeXt-S,19,0.010058487765491,
CSPNeXt-S,20,0.0092493128031492,0.012525625526905
CSPNeXt-S,21,0.0097477249801158,
CSPNeXt-S,22,0.0092167127877473,
CSPNeXt-S,23,0.0092603368684649,
CSPNeXt-S,24,0.0092286858707666,
CSPNeXt-S,25,0.0092402026057243,
CSPNeXt-S,26,0.0091643650084733,
CSPNeXt-S,27,0.0089215384796261,
CSPNeXt-S,28,0.0087302671745419,
CSPNeXt-S,29,0.0086636636406183,
CSPNeXt-S,30,0.0087292715907096,0.0128562720492482
CSPNeXt-S,31,0.0086804972961544,
CSPNeXt-S,32,0.0083925295621156,
CSPNeXt-S,33,0.0087297465652227,
CSPNeXt-S,34,0.0080082453787326,
CSPNeXt-S,35,0.0084758112207055,
CSPNeXt-S,36,0.0077503817155957,
CSPNeXt-S,37,0.0085493670776486,
CSPNeXt-S,38,0.008095595985651,
CSPNeXt-S,39,0.008483157493174,
CSPNeXt-S,40,0.0082519045099616,0.0120037710294127
CSPNeXt-S,41,0.0083000808954238,
CSPNeXt-S,42,0.008156755939126,
CSPNeXt-S,43,0.007770724594593,
CSPNeXt-S,44,0.0081362836062908,
CSPNeXt-S,45,0.0078093437477946,
CSPNeXt-S,46,0.0078461291268467,
CSPNeXt-S,47,0.0078006782568991,
CSPNeXt-S,48,0.0080390330404043,
CSPNeXt-S,49,0.0076160742901265,
CSPNeXt-S,50,0.0074297683313488,0.0114253852516412
CSPNeXt-S,51,0.0074623404070734,
CSPNeXt-S,52,0.0073833987116813,
CSPNeXt-S,53,0.0076646134257316,
CSPNeXt-S,54,0.007714653853327,
CSPNeXt-S,55,0.0079676192253828,
CSPNeXt-S,56,0.007956588640809,
CSPNeXt-S,57,0.0076054548844695,
CSPNeXt-S,58,0.0077702687121927,
CSPNeXt-S,59,0.0077383606694638,
CSPNeXt-S,60,0.0076102325692772,0.0110034961253404
CSPNeXt-S,61,0.0069869263097643,
CSPNeXt-S,62,0.007188525982201,
CSPNeXt-S,63,0.00777627248317,
CSPNeXt-S,64,0.0075059607625007,
CSPNeXt-S,65,0.0069917649962008,
CSPNeXt-S,66,0.0073842741549015,
CSPNeXt-S,67,0.0074095227755606,
CSPNeXt-S,68,0.0069407136179506,
CSPNeXt-S,69,0.0073437942191958,
CSPNeXt-S,70,0.0076565602794289,0.0116276368498802
CSPNeXt-S,71,0.0070965304039418,
CSPNeXt-S,72,0.0074716224335134,
CSPNeXt-S,73,0.0071357279084622,
CSPNeXt-S,74,0.0074095847085118,
CSPNeXt-S,75,0.0073929703794419,
CSPNeXt-S,76,0.0075655938126146,
CSPNeXt-S,77,0.0070948563516139,
CSPNeXt-S,78,0.0075179911218583,
CSPNeXt-S,79,0.0076094381511211,
CSPNeXt-S,80,0.0071158981882035,0.0116321835666894
CSPNeXt-S,81,0.0068731023930013,
CSPNeXt-S,82,0.0070109339430928,
CSPNeXt-S,83,0.0069083296693861,
CSPNeXt-S,84,0.0065001710318028,
CSPNeXt-S,85,0.0062472759746015,
CSPNeXt-S,86,0.006324159912765,
CSPNeXt-S,87,0.0064407205209136,
CSPNeXt-S,88,0.0064745536074042,
CSPNeXt-S,89,0.0063845911063253,
CSPNeXt-S,90,0.0061984974890947,0.0113324541598558
CSPNeXt-S,91,0.006445565726608,
CSPNeXt-S,92,0.0070128142833709,
CSPNeXt-S,93,0.0063662603497505,
CSPNeXt-S,94,0.0063395174220204,
CSPNeXt-S,95,0.0062009789980947,
CSPNeXt-S,96,0.006347304675728,
CSPNeXt-S,97,0.0063014226034283,
CSPNeXt-S,98,0.0066139390692114,
CSPNeXt-S,99,0.0061272294260561,
CSPNeXt-S,100,0.0063631548546254,0.0114382924512028
HRNet-W18,1,0.0150165259838104,
HRNet-W18,2,0.0138022899627685,
HRNet-W18,3,0.012721374630928,
HRNet-W18,4,0.0116067174822092,
HRNet-W18,5,0.0108815701678395,
HRNet-W18,6,0.0105376746505498,
HRNet-W18,7,0.0106134312227368,
HRNet-W18,8,0.0100879548117518,
HRNet-W18,9,0.0102323023602366,
HRNet-W18,10,0.0098956869915127,0.0122204171493649
HRNet-W18,11,0.0096021350473165,
HRNet-W18,12,0.0093279732391238,
HRNet-W18,13,0.0092116696760058,
HRNet-W18,14,0.0091054085642099,
HRNet-W18,15,0.0093042775988578,
HRNet-W18,16,0.0096879173070192,
HRNet-W18,17,0.008764605037868,
HRNet-W18,18,0.0092658549547195,
HRNet-W18,19,0.0090272845700383,
HRNet-W18,20,0.008860851638019,0.0109850848093628
HRNet-W18,21,0.0088438158854842,
HRNet-W18,22,0.0087186470627784,
HRNet-W18,23,0.0083604604005813,
HRNet-W18,24,0.0084820296615362,
HRNet-W18,25,0.0089989146217703,
HRNet-W18,26,0.0086862416937947,
HRNet-W18,27,0.0078406333923339,
HRNet-W18,28,0.0078796343877911,
HRNet-W18,29,0.0078939832746982,
HRNet-W18,30,0.0079080238938331,0.0121192559599876
HRNet-W18,31,0.0085458299145102,
HRNet-W18,32,0.0080664288252592,
HRNet-W18,33,0.0083103012293577,
HRNet-W18,34,0.007871669717133,
HRNet-W18,35,0.0075996369123458,
HRNet-W18,36,0.0081101199612021,
HRNet-W18,37,0.0075289993546903,
HRNet-W18,38,0.0078947423025965,
HRNet-W18,39,0.0080919861793518,
HRNet-W18,40,0.0078167030587792,0.0124200610443949
HRNet-W18,41,0.0077894576825201,
HRNet-W18,42,0.0076161650940775,
HRNet-W18,43,0.0081382896751165,
HRNet-W18,44,0.0074919806793332,
HRNet-W18,45,0.0077595142647624,
HRNet-W18,46,0.0076250969432294,
HRNet-W18,47,0.0077247484587132,
HRNet-W18,48,0.0078090466558933,
HRNet-W18,49,0.0074638263322412,
HRNet-W18,50,0.0073652430437505,0.0113838547840714
HRNet-W18,51,0.0074303434230387,
HRNet-W18,52,0.0075032054446637,
HRNet-W18,53,0.0076241283677518,
HRNet-W18,54,0.0074532655999064,
HRNet-W18,55,0.007394035346806,
HRNet-W18,56,0.0074017001315951,
HRNet-W18,57,0.0075315861031413,
HRNet-W18,58,0.007264032959938,
HRNet-W18,59,0.0071557061746716,
HRNet-W18,60,0.0072986991144716,0.0112282764166593
HRNet-W18,61,0.006977008190006,
HRNet-W18,62,0.0068018287420272,
HRNet-W18,63,0.0069623328745365,
HRNet-W18,64,0.0069275423884391,
HRNet-W18,65,0.0069278543815016,
HRNet-W18,66,0.0072223232127726,
HRNet-W18,67,0.00695780524984,
HRNet-W18,68,0.0070588714443147,
HRNet-W18,69,0.0070213684812188,
HRNet-W18,70,0.0075511904433369,0.0112926019355654
HRNet-W18,71,0.0070697800256311,
HRNet-W18,72,0.0071486704982817,
HRNet-W18,73,0.0069322870112955,
HRNet-W18,74,0.0070332051254808,
HRNet-W18,75,0.0069570420309901,
HRNet-W18,76,0.0067162872292101,
HRNet-W18,77,0.0067007718607783,
HRNet-W18,78,0.0069472445175051,
HRNet-W18,79,0.0067404420115053,
HRNet-W18,80,0.007099533919245,0.0119860293343663
HRNet-W18,81,0.0062967538833618,
HRNet-W18,82,0.0061374017968773,
HRNet-W18,83,0.006132767535746,
HRNet-W18,84,0.0059754210524261,
HRNet-W18,85,0.0061802617274224,
HRNet-W18,86,0.0059890579432249,
HRNet-W18,87,0.0059295296669006,
HRNet-W18,88,0.0058621661737561,
HRNet-W18,89,0.0059808539226651,
HRNet-W18,90,0.0058192699216306,0.0117409620434045
HRNet-W18,91,0.0060444413684308,
HRNet-W18,92,0.0058211237192153,
HRNet-W18,93,0.0057654022239148,
HRNet-W18,94,0.0060855075716972,
HRNet-W18,95,0.0058744987472891,
HRNet-W18,96,0.0055341515690088,
HRNet-W18,97,0.005798271857202,
HRNet-W18,98,0.0057859658263623,
HRNet-W18,99,0.0054429778829216,
HRNet-W18,100,0.0056527033448219,0.0118289608508348
