batch_size,bodypart,rmse_px,mean_likelihood
2,pupil_top,24.035704179314443,0.7254160508513451
2,pupil_bottom,10.709977154550804,0.7691305094957351
2,pupil_left,26.41130288264219,0.635598575770855
2,pupil_right,18.08856558943924,0.5757059648633003
2,eyelid_top,26.095897683492293,0.6335659931600094
2,eyelid_bottom,12.10603659482257,0.5437976157665253
2,eye_nasal_corner,22.49690030730792,0.493600992411375
2,eye_temporal_corner,22.356112395492207,0.2679108688235282
4,pupil_top,24.245118571157615,0.7232418218255043
4,pupil_bottom,12.307857143944313,0.5782414491474629
4,pupil_left,27.130450285760777,0.4980607903003692
4,pupil_right,16.14796072095629,0.5944993710517883
4,eyelid_top,34.15369961363429,0.6219572208821773
4,eyelid_bottom,14.554296742561837,0.47187853500247
4,eye_nasal_corner,21.32742698516889,0.3829927644133568
4,eye_temporal_corner,20.050783056299732,0.4012871189415455
8,pupil_top,26.379846615539854,0.5702115738391876
8,pupil_bottom,11.752959932588004,0.497585626244545
8,pupil_left,28.406523523439343,0.4285406711697578
8,pupil_right,15.613466235995787,0.5719906777143479
8,eyelid_top,36.54977873829969,0.5769625982642174
8,eyelid_bottom,14.547550307855316,0.3635563540458679
8,eye_nasal_corner,21.668122306322186,0.4328534960746765
8,eye_temporal_corner,23.586267409379868,0.5289124184846878
16,pupil_top,27.35914108476336,0.5867504367232322
16,pupil_bottom,10.748108710187124,0.463729000389576
16,pupil_left,28.802142555731173,0.3253166498243808
16,pupil_right,14.02767524423288,0.4374097937345504
16,eyelid_top,25.277501580995573,0.5811120891571044
16,eyelid_bottom,13.09513846294578,0.3774054495990276
16,eye_nasal_corner,24.84264524396188,0.2851266686618328
16,eye_temporal_corner,18.34179190465479,0.3263629138469696
