label,unit,seed,training_frames_this_video,median_frame_rmse_px,median_frame_mean_abs_px,overall_rmse_px,p90_frame_rmse_px,frac_frames_rmse_gt_50px,frac_points_conf_ge_0.6,n_test_frames,n_test_points,snapshot_rule,median_pupil_top_px,median_pupil_bottom_px,median_pupil_left_px,median_pupil_right_px,median_eyelid_top_px,median_eyelid_bottom_px,median_eye_nasal_corner_px,median_eye_temporal_corner_px
x000_step00_final,4_20251030_Pluto_spont_1,42,0,22.8,14.44,35.63,44.45,0.04,0.896,50,384,final snapshot; 3_20251031_pluto3 model applied unchanged (120),22.53,29.32,32.65,22.63,0.0,0.0,0.0,0.0
x000_step00_mAPlate,4_20251030_Pluto_spont_1,42,0,22.3,14.62,27.16,41.92,0.02,0.867,50,384,best validation mAP among epochs >= 96 on 3_20251031_pluto3; model applied unchanged (100),22.01,29.41,32.5,22.12,1.31,1.05,1.88,1.88
x020_step01_final,4_20251030_Pluto_spont_1,42,20,21.75,15.33,34.34,44.04,0.06,0.867,50,384,final snapshot (best-120),20.67,29.75,32.92,6.5,2.24,1.79,3.55,4.87
x020_step01_mAPlate,4_20251030_Pluto_spont_1,42,20,21.75,15.33,34.34,44.04,0.06,0.867,50,384,best validation mAP among epochs >= 96 (best-120),20.67,29.75,32.92,6.5,2.24,1.79,3.55,4.87
x040_step02_final,4_20251030_Pluto_spont_1,42,40,18.19,10.84,26.21,35.33,0.04,0.802,50,384,final snapshot (best-120),16.0,21.46,14.16,7.36,2.05,1.57,3.53,4.69
x040_step02_mAPlate,4_20251030_Pluto_spont_1,42,40,18.19,10.84,26.21,35.33,0.04,0.802,50,384,best validation mAP among epochs >= 96 (best-120),16.0,21.46,14.16,7.36,2.05,1.57,3.53,4.69
x060_step03_final,4_20251030_Pluto_spont_1,42,60,17.16,12.04,26.08,32.09,0.02,0.773,50,384,final snapshot (120),22.41,23.13,14.02,7.86,2.34,2.82,3.81,5.19
x060_step03_mAPlate,4_20251030_Pluto_spont_1,42,60,17.16,12.04,26.08,32.09,0.02,0.773,50,384,best validation mAP among epochs >= 96 (120),22.41,23.13,14.02,7.86,2.34,2.82,3.81,5.19
x080_step04_final,4_20251030_Pluto_spont_1,42,80,16.4,11.47,21.83,34.11,0.0,0.828,50,384,final snapshot (best-120),19.46,22.66,14.24,7.92,3.57,2.87,3.21,4.58
x080_step04_mAPlate,4_20251030_Pluto_spont_1,42,80,16.4,11.47,21.83,34.11,0.0,0.828,50,384,best validation mAP among epochs >= 96 (best-120),19.46,22.66,14.24,7.92,3.57,2.87,3.21,4.58
x100_step05_final,4_20251030_Pluto_spont_1,42,100,15.38,10.73,20.4,32.5,0.0,0.802,50,384,final snapshot (120),17.26,22.8,14.42,7.35,3.07,3.09,4.68,4.66
x100_step05_mAPlate,4_20251030_Pluto_spont_1,42,100,15.9,11.8,26.27,35.3,0.02,0.797,50,384,best validation mAP among epochs >= 96 (110),16.85,23.45,15.09,7.38,3.16,2.93,5.47,5.79
x120_step06_final,4_20251030_Pluto_spont_1,42,120,17.1,11.85,27.43,33.35,0.02,0.836,50,384,final snapshot (120),21.42,21.38,18.59,8.01,2.18,3.59,4.27,4.77
x120_step06_mAPlate,4_20251030_Pluto_spont_1,42,120,17.27,12.1,27.58,34.03,0.02,0.82,50,384,best validation mAP among epochs >= 96 (100),22.93,21.28,16.24,8.1,2.16,3.35,3.54,4.9
